Date,USD Exchange Rate
2019/03/02,65.8145
2019/03/05,65.7956
2019/03/06,65.8004
2019/03/07,65.843
2019/03/08,65.9646
2019/03/12,66.0763
2019/03/13,65.7674
2019/03/14,65.589
2019/03/15,65.4021
2019/03/16,65.4201
2019/03/19,64.6694
2019/03/20,64.3167
2019/03/21,64.2803
2019/03/22,63.742
2019/03/23,63.7705
2019/03/26,64.4993
2019/03/27,64.1683
2019/03/28,64.5925
2019/03/29,64.8012
2019/03/30,64.7347
2019/04/02,65.4176
2019/04/03,65.4726
2019/04/04,65.1639
2019/04/05,65.3281
2019/04/06,65.4072
2019/04/09,65.3498
2019/04/10,64.7766
2019/04/11,64.7373
2019/04/12,64.3991
2019/04/13,64.5171
2019/04/16,64.2469
2019/04/17,64.2422
2019/04/18,63.945
2019/04/19,64.0688
2019/04/20,63.9602
2019/04/23,63.786
2019/04/24,63.7906
2019/04/25,63.9798
2019/04/26,64.6794
2019/04/27,64.7053
2019/04/30,64.6917
2019/05/01,64.6314
2019/05/07,65.335
2019/05/08,65.2166
2019/05/09,65.2287
2019/05/14,65.4703
2019/05/15,65.3001
